PS C:\Users\Mingde\OneDrive\2023 Sp\INFO 550\Final project\myCode> & 'C:\ProgramData\Anaconda3\python.exe' pacman.py -p PacmanDQN -n 15200 -x 15000 -l mediumClassic
Training model
Episode No. 256 | lose | Q(s,a) =  39.9839      | reward = -427.0       | epsilon = 0.9659
Episode No. 257 | lose | Q(s,a) =  28.9870      | reward = -473.0       | epsilon = 0.9657
Episode No. 258 | lose | Q(s,a) =  31.7555      | reward = -325.0       | epsilon = 0.9656
Episode No. 259 | lose | Q(s,a) =  29.6286      | reward = -478.0       | epsilon = 0.9655
Episode No. 260 | lose | Q(s,a) =  29.4331      | reward = -340.0       | epsilon = 0.9653
Episode No. 261 | lose | Q(s,a) =  7.6560       | reward = -471.0       | epsilon = 0.9652
Episode No. 262 | lose | Q(s,a) =  32.3023      | reward = -406.0       | epsilon = 0.9651
Episode No. 263 | lose | Q(s,a) =  28.0164      | reward = -433.0       | epsilon = 0.9649
Episode No. 264 | lose | Q(s,a) =  16.9316      | reward = -378.0       | epsilon = 0.9648
Episode No. 265 | lose | Q(s,a) = -999.0000     | reward = -438.0       | epsilon = 0.9647
Episode No. 266 | lose | Q(s,a) =  29.6468      | reward = -412.0       | epsilon = 0.9645
Episode No. 267 | lose | Q(s,a) =  18.1138      | reward = -483.0       | epsilon = 0.9644
Episode No. 268 | lose | Q(s,a) = -999.0000     | reward = -477.0       | epsilon = 0.9643
Episode No. 269 | lose | Q(s,a) = -999.0000     | reward = -345.0       | epsilon = 0.9641
Episode No. 270 | lose | Q(s,a) =  29.7144      | reward = -399.0       | epsilon = 0.9640
Episode No. 271 | lose | Q(s,a) =  28.0665      | reward = -424.0       | epsilon = 0.9639
Episode No. 272 | lose | Q(s,a) =  26.3144      | reward = -493.0       | epsilon = 0.9637
Episode No. 273 | lose | Q(s,a) =  27.2645      | reward = -443.0       | epsilon = 0.9636
Episode No. 274 | lose | Q(s,a) =  29.4905      | reward = -317.0       | epsilon = 0.9635
Episode No. 275 | lose | Q(s,a) = -999.0000     | reward = -485.0       | epsilon = 0.9633
Episode No. 276 | lose | Q(s,a) =  28.5109      | reward = -475.0       | epsilon = 0.9632
Episode No. 277 | lose | Q(s,a) =  34.5868      | reward = -330.0       | epsilon = 0.9631
Episode No. 278 | lose | Q(s,a) =  26.7698      | reward = -436.0       | epsilon = 0.9629
Episode No. 279 | lose | Q(s,a) = -999.0000     | reward = -482.0       | epsilon = 0.9628
Episode No. 280 | lose | Q(s,a) =  30.3010      | reward = -303.0       | epsilon = 0.9627
Episode No. 281 | lose | Q(s,a) =  17.3579      | reward = -488.0       | epsilon = 0.9625
Episode No. 282 | lose | Q(s,a) =  31.1574      | reward = -410.0       | epsilon = 0.9624
Episode No. 283 | lose | Q(s,a) =  16.3141      | reward = -486.0       | epsilon = 0.9623
